00:00:00.004787 main     VirtualBox COM Server 7.0.10 r158379 win.amd64 (Jul 12 2023 18:34:34) release log
00:06:52.421980          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Paused)}, preserve=false aResultDetail=0
00:06:54.758160          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:07:04.056995          Saving settings file "C:\Users\ankry\VirtualBox VMs\ubuntu\ubuntu.vbox" with version "1.19-windows"
00:07:04.067721          Finished saving settings file "C:\Users\ankry\VirtualBox VMs\ubuntu\ubuntu.vbox"
00:09:57.011176          Saving settings file "C:\Users\ankry\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:09:57.015860          Finished saving settings file "C:\Users\ankry\.VirtualBox\VirtualBox.xml"
00:09:57.016342          Saving settings file "C:\Users\ankry\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:09:57.019998          Finished saving settings file "C:\Users\ankry\.VirtualBox\VirtualBox.xml"
00:09:57.020400          Saving settings file "C:\Users\ankry\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:09:57.024004          Finished saving settings file "C:\Users\ankry\.VirtualBox\VirtualBox.xml"
00:09:58.266144          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:10:06.244181          Launched VM: 1658615776 pid: 16620 (0x40ec) frontend: GUI/Qt name: ubuntu
00:10:06.266940          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:10:11.880599          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:10:12.568141          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={70401eef-c8e9-466b-9660-45cb3e9979e4} aComponent={ExtPackManagerWrap} aText={No extension pack by the name 'Oracle VM VirtualBox Extension Pack' was found}, preserve=false aResultDetail=0
00:10:14.323274          ERROR [COM]: aRC=VBOX_E_IPRT_ERROR (0x80bb0005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={Saved screenshot data is not available (VERR_NOT_SUPPORTED)}, preserve=false aResultDetail=-37
00:10:14.659513          netIfIsWireless: CreateFile on '\\.\{473919BF-43B3-411F-A782-174F0184BF93}' failed with rcWin=2 (0x2) - ignoring
00:10:14.819300          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={The machine is not mutable or saved (state is Starting)}, preserve=false aResultDetail=0
